en_plural	en_singular	nl_plural	nl_singular
the athletes	the athlete	de atleten	de atleet
the aunts	the aunt	de tantes	de tante
the boys	the boy	de jongens	de jongen
the carpenters	the carpenter	de timmermannen	de timmerman
the doctors	the doctor	de doktoren	de dokter
the farmers	the farmer	de boeren	de boer
the fathers	the father	de vaders	de vader
the friends	the friend	de vrienden	de vriend
the girls	the girl	de meisjes	het meisje
the guys	the guy	de venten	de vent
the kids	the kid	de kinderen	het kind
the lawyers	the lawyer	de advocaten	de advocaat
the men	the man	de mannen	de man
the mothers	the mother	de moeders	de moeder
the poets	the poet	de dichters	de dichter
the singers	the singer	de zangers	de zanger
the teachers	the teacher	de leraren	de leraar
the uncles	the uncle	de ooms	de oom
the victims	the victim	de slachtoffers	het slachtoffer
the women	the woman	de vrouwen	de vrouw
