agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
De man op Pat begrijpt	De man op Pat begrijpen	begrijpt	begrijpen	1	4	singular	De man op Pat begrijpt de persoon.
De schrijver naast Bill mist	De schrijver naast Bill missen	mist	missen	1	4	singular	De schrijver naast Bill mist de persoon.
De vriend naast John hoort	De vriend naast John horen	hoort	horen	1	4	singular	De vriend naast John hoort de persoon.
De man achter Pat herkent	De man achter Pat herkennen	herkent	herkennen	1	4	singular	De man achter Pat herkent de persoon.
De vader op Bill herkent	De vader op Bill herkennen	herkent	herkennen	1	4	singular	De vader op Bill herkent de persoon.
De vader onder Mary stimuleert	De vader onder Mary stimuleren	stimuleert	stimuleren	1	4	singular	De vader onder Mary stimuleert de persoon.
De zanger bij Pat kent	De zanger bij Pat kennen	kent	kennen	1	4	singular	De zanger bij Pat kent de persoon.
De vrouw naast Mary vertrouwt	De vrouw naast Mary vertrouwen	vertrouwt	vertrouwen	1	4	singular	De vrouw naast Mary vertrouwt de persoon.
De leraar op Mike roept	De leraar op Mike roepen	roept	roepen	1	4	singular	De leraar op Mike roept de persoon.
De advocaat onder Barbara verleidt	De advocaat onder Barbara verleiden	verleidt	verleiden	1	4	singular	De advocaat onder Barbara verleidt de persoon.
De vriend onder Mary verleidt	De vriend onder Mary verleiden	verleidt	verleiden	1	4	singular	De vriend onder Mary verleidt de persoon.
De boer onder John herkent	De boer onder John herkennen	herkent	herkennen	1	4	singular	De boer onder John herkent de persoon.
De jongen bij Bill bekritiseert	De jongen bij Bill bekritiseren	bekritiseert	bekritiseren	1	4	singular	De jongen bij Bill bekritiseert de persoon.
De dokter onder Linda stimuleert	De dokter onder Linda stimuleren	stimuleert	stimuleren	1	4	singular	De dokter onder Linda stimuleert de persoon.
De persoon op Sue vermijdt	De persoon op Sue vermijden	vermijdt	vermijden	1	4	singular	De persoon op Sue vermijdt de persoon.
De oom onder Jim verleidt	De oom onder Jim verleiden	verleidt	verleiden	1	4	singular	De oom onder Jim verleidt de persoon.
De vrouw op John bekritiseert	De vrouw op John bekritiseren	bekritiseert	bekritiseren	1	4	singular	De vrouw op John bekritiseert de persoon.
De man onder Jim onderzoekt	De man onder Jim onderzoeken	onderzoekt	onderzoeken	1	4	singular	De man onder Jim onderzoekt de persoon.
De jongen bij Barbara mist	De jongen bij Barbara missen	mist	missen	1	4	singular	De jongen bij Barbara mist de persoon.
De moeder achter Barbara stimuleert	De moeder achter Barbara stimuleren	stimuleert	stimuleren	1	4	singular	De moeder achter Barbara stimuleert de persoon.
De vrouw bij Bill bekritiseert	De vrouw bij Bill bekritiseren	bekritiseert	bekritiseren	1	4	singular	De vrouw bij Bill bekritiseert de persoon.
De moeder bij Barbara bekritiseert	De moeder bij Barbara bekritiseren	bekritiseert	bekritiseren	1	4	singular	De moeder bij Barbara bekritiseert de persoon.
De man naast Jim mist	De man naast Jim missen	mist	missen	1	4	singular	De man naast Jim mist de persoon.
De tante op Bob begrijpt	De tante op Bob begrijpen	begrijpt	begrijpen	1	4	singular	De tante op Bob begrijpt de persoon.
De tante naast Bob hoort	De tante naast Bob horen	hoort	horen	1	4	singular	De tante naast Bob hoort de persoon.
De tante naast Sue stimuleert	De tante naast Sue stimuleren	stimuleert	stimuleren	1	4	singular	De tante naast Sue stimuleert de persoon.
De dokter onder Barbara roept	De dokter onder Barbara roepen	roept	roepen	1	4	singular	De dokter onder Barbara roept de persoon.
De zanger achter Sue hoort	De zanger achter Sue horen	hoort	horen	1	4	singular	De zanger achter Sue hoort de persoon.
De oom achter Mary stimuleert	De oom achter Mary stimuleren	stimuleert	stimuleren	1	4	singular	De oom achter Mary stimuleert de persoon.
De inwoner bij Barbara roept	De inwoner bij Barbara roepen	roept	roepen	1	4	singular	De inwoner bij Barbara roept de persoon.
De inwoner bij Bob roept	De inwoner bij Bob roepen	roept	roepen	1	4	singular	De inwoner bij Bob roept de persoon.
De schrijver onder Bob verleidt	De schrijver onder Bob verleiden	verleidt	verleiden	1	4	singular	De schrijver onder Bob verleidt de persoon.
De leraar bij Mary onderzoekt	De leraar bij Mary onderzoeken	onderzoekt	onderzoeken	1	4	singular	De leraar bij Mary onderzoekt de persoon.
De oom onder Sue vermijdt	De oom onder Sue vermijden	vermijdt	vermijden	1	4	singular	De oom onder Sue vermijdt de persoon.
De zanger onder Sue groet	De zanger onder Sue groeten	groet	groeten	1	4	singular	De zanger onder Sue groet de persoon.
De schrijver naast Bob kent	De schrijver naast Bob kennen	kent	kennen	1	4	singular	De schrijver naast Bob kent de persoon.
De dichter onder Jim hoort	De dichter onder Jim horen	hoort	horen	1	4	singular	De dichter onder Jim hoort de persoon.
De inwoner achter Sue begrijpt	De inwoner achter Sue begrijpen	begrijpt	begrijpen	1	4	singular	De inwoner achter Sue begrijpt de persoon.
De tante achter Mike vermijdt	De tante achter Mike vermijden	vermijdt	vermijden	1	4	singular	De tante achter Mike vermijdt de persoon.
De man achter Mary hoort	De man achter Mary horen	hoort	horen	1	4	singular	De man achter Mary hoort de persoon.
De persoon bij Pat vermijdt	De persoon bij Pat vermijden	vermijdt	vermijden	1	4	singular	De persoon bij Pat vermijdt de persoon.
De schrijver naast Barbara mist	De schrijver naast Barbara missen	mist	missen	1	4	singular	De schrijver naast Barbara mist de persoon.
De boer onder Linda begrijpt	De boer onder Linda begrijpen	begrijpt	begrijpen	1	4	singular	De boer onder Linda begrijpt de persoon.
De tante onder Pat stimuleert	De tante onder Pat stimuleren	stimuleert	stimuleren	1	4	singular	De tante onder Pat stimuleert de persoon.
De zanger op Jim mist	De zanger op Jim missen	mist	missen	1	4	singular	De zanger op Jim mist de persoon.
De moeder bij Jim bekritiseert	De moeder bij Jim bekritiseren	bekritiseert	bekritiseren	1	4	singular	De moeder bij Jim bekritiseert de persoon.
De vader bij Jim mist	De vader bij Jim missen	mist	missen	1	4	singular	De vader bij Jim mist de persoon.
De jongen onder Sue vertrouwt	De jongen onder Sue vertrouwen	vertrouwt	vertrouwen	1	4	singular	De jongen onder Sue vertrouwt de persoon.
De zanger bij Bob hoort	De zanger bij Bob horen	hoort	horen	1	4	singular	De zanger bij Bob hoort de persoon.
De schrijver onder Mike kent	De schrijver onder Mike kennen	kent	kennen	1	4	singular	De schrijver onder Mike kent de persoon.
De dokter achter Jim roept	De dokter achter Jim roepen	roept	roepen	1	4	singular	De dokter achter Jim roept de persoon.
De leraar bij Sue vermijdt	De leraar bij Sue vermijden	vermijdt	vermijden	1	4	singular	De leraar bij Sue vermijdt de persoon.
De vader naast Linda stimuleert	De vader naast Linda stimuleren	stimuleert	stimuleren	1	4	singular	De vader naast Linda stimuleert de persoon.
De man naast Linda groet	De man naast Linda groeten	groet	groeten	1	4	singular	De man naast Linda groet de persoon.
