agreement,disagreement,number,subject_index,verb_index,completed
De oom observeert,De oom observeren,singular,1,2,De oom observeert de persoon.
De oom bemoedigt,De oom bemoedigen,singular,1,2,De oom bemoedigt de persoon.
De oom vermijdt,De oom vermijden,singular,1,2,De oom vermijdt de persoon.
De oom stimuleert,De oom stimuleren,singular,1,2,De oom stimuleert de persoon.
De oom groet,De oom groeten,singular,1,2,De oom groet de persoon.
De oom ontmoedigt,De oom ontmoedigen,singular,1,2,De oom ontmoedigt de persoon.
De oom onthoudt,De oom onthouden,singular,1,2,De oom onthoudt de persoon.
De oom bewondert,De oom bewonderen,singular,1,2,De oom bewondert de persoon.
De oom bekritiseert,De oom bekritiseren,singular,1,2,De oom bekritiseert de persoon.
De oom inspireert,De oom inspireren,singular,1,2,De oom inspireert de persoon.
De oom kent,De oom kennen,singular,1,2,De oom kent de persoon.
De oom begrijpt,De oom begrijpen,singular,1,2,De oom begrijpt de persoon.
De dokter observeert,De dokter observeren,singular,1,2,De dokter observeert de persoon.
De dokter bemoedigt,De dokter bemoedigen,singular,1,2,De dokter bemoedigt de persoon.
De dokter vermijdt,De dokter vermijden,singular,1,2,De dokter vermijdt de persoon.
De dokter stimuleert,De dokter stimuleren,singular,1,2,De dokter stimuleert de persoon.
De dokter groet,De dokter groeten,singular,1,2,De dokter groet de persoon.
De dokter ontmoedigt,De dokter ontmoedigen,singular,1,2,De dokter ontmoedigt de persoon.
De dokter onthoudt,De dokter onthouden,singular,1,2,De dokter onthoudt de persoon.
De dokter bewondert,De dokter bewonderen,singular,1,2,De dokter bewondert de persoon.
De dokter bekritiseert,De dokter bekritiseren,singular,1,2,De dokter bekritiseert de persoon.
De dokter inspireert,De dokter inspireren,singular,1,2,De dokter inspireert de persoon.
De dokter kent,De dokter kennen,singular,1,2,De dokter kent de persoon.
De dokter begrijpt,De dokter begrijpen,singular,1,2,De dokter begrijpt de persoon.
De vent observeert,De vent observeren,singular,1,2,De vent observeert de persoon.
De vent bemoedigt,De vent bemoedigen,singular,1,2,De vent bemoedigt de persoon.
De vent vermijdt,De vent vermijden,singular,1,2,De vent vermijdt de persoon.
De vent stimuleert,De vent stimuleren,singular,1,2,De vent stimuleert de persoon.
De vent groet,De vent groeten,singular,1,2,De vent groet de persoon.
De vent ontmoedigt,De vent ontmoedigen,singular,1,2,De vent ontmoedigt de persoon.
De vent onthoudt,De vent onthouden,singular,1,2,De vent onthoudt de persoon.
De vent bewondert,De vent bewonderen,singular,1,2,De vent bewondert de persoon.
De vent bekritiseert,De vent bekritiseren,singular,1,2,De vent bekritiseert de persoon.
De vent inspireert,De vent inspireren,singular,1,2,De vent inspireert de persoon.
De vent kent,De vent kennen,singular,1,2,De vent kent de persoon.
De vent begrijpt,De vent begrijpen,singular,1,2,De vent begrijpt de persoon.
De jongen observeert,De jongen observeren,singular,1,2,De jongen observeert de persoon.
De jongen bemoedigt,De jongen bemoedigen,singular,1,2,De jongen bemoedigt de persoon.
De jongen vermijdt,De jongen vermijden,singular,1,2,De jongen vermijdt de persoon.
De jongen stimuleert,De jongen stimuleren,singular,1,2,De jongen stimuleert de persoon.
De jongen groet,De jongen groeten,singular,1,2,De jongen groet de persoon.
De jongen ontmoedigt,De jongen ontmoedigen,singular,1,2,De jongen ontmoedigt de persoon.
De jongen onthoudt,De jongen onthouden,singular,1,2,De jongen onthoudt de persoon.
De jongen bewondert,De jongen bewonderen,singular,1,2,De jongen bewondert de persoon.
De jongen bekritiseert,De jongen bekritiseren,singular,1,2,De jongen bekritiseert de persoon.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon.
De jongen kent,De jongen kennen,singular,1,2,De jongen kent de persoon.
De jongen begrijpt,De jongen begrijpen,singular,1,2,De jongen begrijpt de persoon.
De vrouw observeert,De vrouw observeren,singular,1,2,De vrouw observeert de persoon.
De vrouw bemoedigt,De vrouw bemoedigen,singular,1,2,De vrouw bemoedigt de persoon.
De vrouw vermijdt,De vrouw vermijden,singular,1,2,De vrouw vermijdt de persoon.
De vrouw stimuleert,De vrouw stimuleren,singular,1,2,De vrouw stimuleert de persoon.
De vrouw groet,De vrouw groeten,singular,1,2,De vrouw groet de persoon.
De vrouw ontmoedigt,De vrouw ontmoedigen,singular,1,2,De vrouw ontmoedigt de persoon.
De vrouw onthoudt,De vrouw onthouden,singular,1,2,De vrouw onthoudt de persoon.
De vrouw bewondert,De vrouw bewonderen,singular,1,2,De vrouw bewondert de persoon.
De vrouw bekritiseert,De vrouw bekritiseren,singular,1,2,De vrouw bekritiseert de persoon.
De vrouw inspireert,De vrouw inspireren,singular,1,2,De vrouw inspireert de persoon.
De vrouw kent,De vrouw kennen,singular,1,2,De vrouw kent de persoon.
De vrouw begrijpt,De vrouw begrijpen,singular,1,2,De vrouw begrijpt de persoon.
De moeder observeert,De moeder observeren,singular,1,2,De moeder observeert de persoon.
De moeder bemoedigt,De moeder bemoedigen,singular,1,2,De moeder bemoedigt de persoon.
De moeder vermijdt,De moeder vermijden,singular,1,2,De moeder vermijdt de persoon.
De moeder stimuleert,De moeder stimuleren,singular,1,2,De moeder stimuleert de persoon.
De moeder groet,De moeder groeten,singular,1,2,De moeder groet de persoon.
De moeder ontmoedigt,De moeder ontmoedigen,singular,1,2,De moeder ontmoedigt de persoon.
De moeder onthoudt,De moeder onthouden,singular,1,2,De moeder onthoudt de persoon.
De moeder bewondert,De moeder bewonderen,singular,1,2,De moeder bewondert de persoon.
De moeder bekritiseert,De moeder bekritiseren,singular,1,2,De moeder bekritiseert de persoon.
De moeder inspireert,De moeder inspireren,singular,1,2,De moeder inspireert de persoon.
De moeder kent,De moeder kennen,singular,1,2,De moeder kent de persoon.
De moeder begrijpt,De moeder begrijpen,singular,1,2,De moeder begrijpt de persoon.
De meid observeert,De meid observeren,singular,1,2,De meid observeert de persoon.
De meid bemoedigt,De meid bemoedigen,singular,1,2,De meid bemoedigt de persoon.
De meid vermijdt,De meid vermijden,singular,1,2,De meid vermijdt de persoon.
De meid stimuleert,De meid stimuleren,singular,1,2,De meid stimuleert de persoon.
De meid groet,De meid groeten,singular,1,2,De meid groet de persoon.
De meid ontmoedigt,De meid ontmoedigen,singular,1,2,De meid ontmoedigt de persoon.
De meid onthoudt,De meid onthouden,singular,1,2,De meid onthoudt de persoon.
De meid bewondert,De meid bewonderen,singular,1,2,De meid bewondert de persoon.
De meid bekritiseert,De meid bekritiseren,singular,1,2,De meid bekritiseert de persoon.
De meid inspireert,De meid inspireren,singular,1,2,De meid inspireert de persoon.
De meid kent,De meid kennen,singular,1,2,De meid kent de persoon.
De meid begrijpt,De meid begrijpen,singular,1,2,De meid begrijpt de persoon.
De dichter observeert,De dichter observeren,singular,1,2,De dichter observeert de persoon.
De dichter bemoedigt,De dichter bemoedigen,singular,1,2,De dichter bemoedigt de persoon.
De dichter vermijdt,De dichter vermijden,singular,1,2,De dichter vermijdt de persoon.
De dichter stimuleert,De dichter stimuleren,singular,1,2,De dichter stimuleert de persoon.
De dichter groet,De dichter groeten,singular,1,2,De dichter groet de persoon.
De dichter ontmoedigt,De dichter ontmoedigen,singular,1,2,De dichter ontmoedigt de persoon.
De dichter onthoudt,De dichter onthouden,singular,1,2,De dichter onthoudt de persoon.
De dichter bewondert,De dichter bewonderen,singular,1,2,De dichter bewondert de persoon.
De dichter bekritiseert,De dichter bekritiseren,singular,1,2,De dichter bekritiseert de persoon.
De dichter inspireert,De dichter inspireren,singular,1,2,De dichter inspireert de persoon.
De dichter kent,De dichter kennen,singular,1,2,De dichter kent de persoon.
De dichter begrijpt,De dichter begrijpen,singular,1,2,De dichter begrijpt de persoon.
De man observeert,De man observeren,singular,1,2,De man observeert de persoon.
De man bemoedigt,De man bemoedigen,singular,1,2,De man bemoedigt de persoon.
De man vermijdt,De man vermijden,singular,1,2,De man vermijdt de persoon.
De man stimuleert,De man stimuleren,singular,1,2,De man stimuleert de persoon.
De man groet,De man groeten,singular,1,2,De man groet de persoon.
De man ontmoedigt,De man ontmoedigen,singular,1,2,De man ontmoedigt de persoon.
De man onthoudt,De man onthouden,singular,1,2,De man onthoudt de persoon.
De man bewondert,De man bewonderen,singular,1,2,De man bewondert de persoon.
De man bekritiseert,De man bekritiseren,singular,1,2,De man bekritiseert de persoon.
De man inspireert,De man inspireren,singular,1,2,De man inspireert de persoon.
De man kent,De man kennen,singular,1,2,De man kent de persoon.
