agreement,disagreement,number,subject_index,verb_index,completed
De tante nabij John bekritiseert,De tante nabij John bekritiseren,singular,1,4,De tante nabij John bekritiseert de persoon.
De tante nabij John groet,De tante nabij John groeten,singular,1,4,De tante nabij John groet de persoon.
De tante nabij John bewondert,De tante nabij John bewonderen,singular,1,4,De tante nabij John bewondert de persoon.
De tante nabij John kent,De tante nabij John kennen,singular,1,4,De tante nabij John kent de persoon.
De tante nabij John onthoudt,De tante nabij John onthouden,singular,1,4,De tante nabij John onthoudt de persoon.
De tante nabij John observeert,De tante nabij John observeren,singular,1,4,De tante nabij John observeert de persoon.
De tante nabij John vermijdt,De tante nabij John vermijden,singular,1,4,De tante nabij John vermijdt de persoon.
De tante nabij John bemoedigt,De tante nabij John bemoedigen,singular,1,4,De tante nabij John bemoedigt de persoon.
De tante nabij John inspireert,De tante nabij John inspireren,singular,1,4,De tante nabij John inspireert de persoon.
De tante nabij John ontmoedigt,De tante nabij John ontmoedigen,singular,1,4,De tante nabij John ontmoedigt de persoon.
De tante nabij John stimuleert,De tante nabij John stimuleren,singular,1,4,De tante nabij John stimuleert de persoon.
De tante nabij John begrijpt,De tante nabij John begrijpen,singular,1,4,De tante nabij John begrijpt de persoon.
De tante nabij Mike bekritiseert,De tante nabij Mike bekritiseren,singular,1,4,De tante nabij Mike bekritiseert de persoon.
De tante nabij Mike groet,De tante nabij Mike groeten,singular,1,4,De tante nabij Mike groet de persoon.
De tante nabij Mike bewondert,De tante nabij Mike bewonderen,singular,1,4,De tante nabij Mike bewondert de persoon.
De tante nabij Mike kent,De tante nabij Mike kennen,singular,1,4,De tante nabij Mike kent de persoon.
De tante nabij Mike onthoudt,De tante nabij Mike onthouden,singular,1,4,De tante nabij Mike onthoudt de persoon.
De tante nabij Mike observeert,De tante nabij Mike observeren,singular,1,4,De tante nabij Mike observeert de persoon.
De tante nabij Mike vermijdt,De tante nabij Mike vermijden,singular,1,4,De tante nabij Mike vermijdt de persoon.
De tante nabij Mike bemoedigt,De tante nabij Mike bemoedigen,singular,1,4,De tante nabij Mike bemoedigt de persoon.
De tante nabij Mike inspireert,De tante nabij Mike inspireren,singular,1,4,De tante nabij Mike inspireert de persoon.
De tante nabij Mike ontmoedigt,De tante nabij Mike ontmoedigen,singular,1,4,De tante nabij Mike ontmoedigt de persoon.
De tante nabij Mike stimuleert,De tante nabij Mike stimuleren,singular,1,4,De tante nabij Mike stimuleert de persoon.
De tante nabij Mike begrijpt,De tante nabij Mike begrijpen,singular,1,4,De tante nabij Mike begrijpt de persoon.
De tante nabij Bob bekritiseert,De tante nabij Bob bekritiseren,singular,1,4,De tante nabij Bob bekritiseert de persoon.
De tante nabij Bob groet,De tante nabij Bob groeten,singular,1,4,De tante nabij Bob groet de persoon.
De tante nabij Bob bewondert,De tante nabij Bob bewonderen,singular,1,4,De tante nabij Bob bewondert de persoon.
De tante nabij Bob kent,De tante nabij Bob kennen,singular,1,4,De tante nabij Bob kent de persoon.
De tante nabij Bob onthoudt,De tante nabij Bob onthouden,singular,1,4,De tante nabij Bob onthoudt de persoon.
De tante nabij Bob observeert,De tante nabij Bob observeren,singular,1,4,De tante nabij Bob observeert de persoon.
De tante nabij Bob vermijdt,De tante nabij Bob vermijden,singular,1,4,De tante nabij Bob vermijdt de persoon.
De tante nabij Bob bemoedigt,De tante nabij Bob bemoedigen,singular,1,4,De tante nabij Bob bemoedigt de persoon.
De tante nabij Bob inspireert,De tante nabij Bob inspireren,singular,1,4,De tante nabij Bob inspireert de persoon.
De tante nabij Bob ontmoedigt,De tante nabij Bob ontmoedigen,singular,1,4,De tante nabij Bob ontmoedigt de persoon.
De tante nabij Bob stimuleert,De tante nabij Bob stimuleren,singular,1,4,De tante nabij Bob stimuleert de persoon.
De tante nabij Bob begrijpt,De tante nabij Bob begrijpen,singular,1,4,De tante nabij Bob begrijpt de persoon.
De tante nabij Barbara bekritiseert,De tante nabij Barbara bekritiseren,singular,1,4,De tante nabij Barbara bekritiseert de persoon.
De tante nabij Barbara groet,De tante nabij Barbara groeten,singular,1,4,De tante nabij Barbara groet de persoon.
De tante nabij Barbara bewondert,De tante nabij Barbara bewonderen,singular,1,4,De tante nabij Barbara bewondert de persoon.
De tante nabij Barbara kent,De tante nabij Barbara kennen,singular,1,4,De tante nabij Barbara kent de persoon.
De tante nabij Barbara onthoudt,De tante nabij Barbara onthouden,singular,1,4,De tante nabij Barbara onthoudt de persoon.
De tante nabij Barbara observeert,De tante nabij Barbara observeren,singular,1,4,De tante nabij Barbara observeert de persoon.
De tante nabij Barbara vermijdt,De tante nabij Barbara vermijden,singular,1,4,De tante nabij Barbara vermijdt de persoon.
De tante nabij Barbara bemoedigt,De tante nabij Barbara bemoedigen,singular,1,4,De tante nabij Barbara bemoedigt de persoon.
De tante nabij Barbara inspireert,De tante nabij Barbara inspireren,singular,1,4,De tante nabij Barbara inspireert de persoon.
De tante nabij Barbara ontmoedigt,De tante nabij Barbara ontmoedigen,singular,1,4,De tante nabij Barbara ontmoedigt de persoon.
De tante nabij Barbara stimuleert,De tante nabij Barbara stimuleren,singular,1,4,De tante nabij Barbara stimuleert de persoon.
De tante nabij Barbara begrijpt,De tante nabij Barbara begrijpen,singular,1,4,De tante nabij Barbara begrijpt de persoon.
De tante nabij Jim bekritiseert,De tante nabij Jim bekritiseren,singular,1,4,De tante nabij Jim bekritiseert de persoon.
