agreement,disagreement,number,subject_index,verb_index,completed
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker en zeker.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker en bewust.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker en waarschijnlijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker en publiekelijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker en voorzichtig.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker en openlijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker of zeker.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker of bewust.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker of waarschijnlijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker of publiekelijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker of voorzichtig.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon zeker of openlijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust en zeker.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust en bewust.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust en waarschijnlijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust en publiekelijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust en voorzichtig.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust en openlijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust of zeker.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust of bewust.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust of waarschijnlijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust of publiekelijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust of voorzichtig.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon bewust of openlijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon waarschijnlijk en zeker.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon waarschijnlijk en bewust.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon waarschijnlijk en waarschijnlijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon waarschijnlijk en publiekelijk.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon waarschijnlijk en voorzichtig.
De jongen inspireert,De jongen inspireren,singular,1,2,De jongen inspireert de persoon waarschijnlijk en openlijk.
