agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
De inwoner begrijpt	De inwoner begrijpen	begrijpt	begrijpen	1	2	singular	De inwoner begrijpt de persoon.
De inwoner vertrouwt	De inwoner vertrouwen	vertrouwt	vertrouwen	1	2	singular	De inwoner vertrouwt de persoon.
De inwoner verleidt	De inwoner verleiden	verleidt	verleiden	1	2	singular	De inwoner verleidt de persoon.
De inwoner ziet	De inwoner zien	ziet	zien	1	2	singular	De inwoner ziet de persoon.
De inwoner vermijdt	De inwoner vermijden	vermijdt	vermijden	1	2	singular	De inwoner vermijdt de persoon.
De inwoner onderzoekt	De inwoner onderzoeken	onderzoekt	onderzoeken	1	2	singular	De inwoner onderzoekt de persoon.
De inwoner groet	De inwoner groeten	groet	groeten	1	2	singular	De inwoner groet de persoon.
De inwoner stimuleert	De inwoner stimuleren	stimuleert	stimuleren	1	2	singular	De inwoner stimuleert de persoon.
De inwoner herkent	De inwoner herkennen	herkent	herkennen	1	2	singular	De inwoner herkent de persoon.
De inwoner hoort	De inwoner horen	hoort	horen	1	2	singular	De inwoner hoort de persoon.
De inwoner bekritiseert	De inwoner bekritiseren	bekritiseert	bekritiseren	1	2	singular	De inwoner bekritiseert de persoon.
De inwoner kent	De inwoner kennen	kent	kennen	1	2	singular	De inwoner kent de persoon.
De inwoner roept	De inwoner roepen	roept	roepen	1	2	singular	De inwoner roept de persoon.
De inwoner mist	De inwoner missen	mist	missen	1	2	singular	De inwoner mist de persoon.
De oom begrijpt	De oom begrijpen	begrijpt	begrijpen	1	2	singular	De oom begrijpt de persoon.
De oom vertrouwt	De oom vertrouwen	vertrouwt	vertrouwen	1	2	singular	De oom vertrouwt de persoon.
De oom verleidt	De oom verleiden	verleidt	verleiden	1	2	singular	De oom verleidt de persoon.
De oom ziet	De oom zien	ziet	zien	1	2	singular	De oom ziet de persoon.
De oom vermijdt	De oom vermijden	vermijdt	vermijden	1	2	singular	De oom vermijdt de persoon.
De oom onderzoekt	De oom onderzoeken	onderzoekt	onderzoeken	1	2	singular	De oom onderzoekt de persoon.
De oom groet	De oom groeten	groet	groeten	1	2	singular	De oom groet de persoon.
De oom stimuleert	De oom stimuleren	stimuleert	stimuleren	1	2	singular	De oom stimuleert de persoon.
De oom herkent	De oom herkennen	herkent	herkennen	1	2	singular	De oom herkent de persoon.
De oom hoort	De oom horen	hoort	horen	1	2	singular	De oom hoort de persoon.
De oom bekritiseert	De oom bekritiseren	bekritiseert	bekritiseren	1	2	singular	De oom bekritiseert de persoon.
De oom kent	De oom kennen	kent	kennen	1	2	singular	De oom kent de persoon.
De oom roept	De oom roepen	roept	roepen	1	2	singular	De oom roept de persoon.
De oom mist	De oom missen	mist	missen	1	2	singular	De oom mist de persoon.
De meid begrijpt	De meid begrijpen	begrijpt	begrijpen	1	2	singular	De meid begrijpt de persoon.
De meid vertrouwt	De meid vertrouwen	vertrouwt	vertrouwen	1	2	singular	De meid vertrouwt de persoon.
De meid verleidt	De meid verleiden	verleidt	verleiden	1	2	singular	De meid verleidt de persoon.
De meid ziet	De meid zien	ziet	zien	1	2	singular	De meid ziet de persoon.
De meid vermijdt	De meid vermijden	vermijdt	vermijden	1	2	singular	De meid vermijdt de persoon.
De meid onderzoekt	De meid onderzoeken	onderzoekt	onderzoeken	1	2	singular	De meid onderzoekt de persoon.
De meid groet	De meid groeten	groet	groeten	1	2	singular	De meid groet de persoon.
De meid stimuleert	De meid stimuleren	stimuleert	stimuleren	1	2	singular	De meid stimuleert de persoon.
De meid herkent	De meid herkennen	herkent	herkennen	1	2	singular	De meid herkent de persoon.
De meid hoort	De meid horen	hoort	horen	1	2	singular	De meid hoort de persoon.
De meid bekritiseert	De meid bekritiseren	bekritiseert	bekritiseren	1	2	singular	De meid bekritiseert de persoon.
De meid kent	De meid kennen	kent	kennen	1	2	singular	De meid kent de persoon.
De meid roept	De meid roepen	roept	roepen	1	2	singular	De meid roept de persoon.
De meid mist	De meid missen	mist	missen	1	2	singular	De meid mist de persoon.
De jongen begrijpt	De jongen begrijpen	begrijpt	begrijpen	1	2	singular	De jongen begrijpt de persoon.
De jongen vertrouwt	De jongen vertrouwen	vertrouwt	vertrouwen	1	2	singular	De jongen vertrouwt de persoon.
De jongen verleidt	De jongen verleiden	verleidt	verleiden	1	2	singular	De jongen verleidt de persoon.
De jongen ziet	De jongen zien	ziet	zien	1	2	singular	De jongen ziet de persoon.
De jongen vermijdt	De jongen vermijden	vermijdt	vermijden	1	2	singular	De jongen vermijdt de persoon.
De jongen onderzoekt	De jongen onderzoeken	onderzoekt	onderzoeken	1	2	singular	De jongen onderzoekt de persoon.
De jongen groet	De jongen groeten	groet	groeten	1	2	singular	De jongen groet de persoon.
De jongen stimuleert	De jongen stimuleren	stimuleert	stimuleren	1	2	singular	De jongen stimuleert de persoon.
De jongen herkent	De jongen herkennen	herkent	herkennen	1	2	singular	De jongen herkent de persoon.
De jongen hoort	De jongen horen	hoort	horen	1	2	singular	De jongen hoort de persoon.
De jongen bekritiseert	De jongen bekritiseren	bekritiseert	bekritiseren	1	2	singular	De jongen bekritiseert de persoon.
De jongen kent	De jongen kennen	kent	kennen	1	2	singular	De jongen kent de persoon.
De jongen roept	De jongen roepen	roept	roepen	1	2	singular	De jongen roept de persoon.
De jongen mist	De jongen missen	mist	missen	1	2	singular	De jongen mist de persoon.
De persoon begrijpt	De persoon begrijpen	begrijpt	begrijpen	1	2	singular	De persoon begrijpt de persoon.
De persoon vertrouwt	De persoon vertrouwen	vertrouwt	vertrouwen	1	2	singular	De persoon vertrouwt de persoon.
De persoon verleidt	De persoon verleiden	verleidt	verleiden	1	2	singular	De persoon verleidt de persoon.
De persoon ziet	De persoon zien	ziet	zien	1	2	singular	De persoon ziet de persoon.
De persoon vermijdt	De persoon vermijden	vermijdt	vermijden	1	2	singular	De persoon vermijdt de persoon.
De persoon onderzoekt	De persoon onderzoeken	onderzoekt	onderzoeken	1	2	singular	De persoon onderzoekt de persoon.
De persoon groet	De persoon groeten	groet	groeten	1	2	singular	De persoon groet de persoon.
De persoon stimuleert	De persoon stimuleren	stimuleert	stimuleren	1	2	singular	De persoon stimuleert de persoon.
