agreement,disagreement,number,subject_index,verb_index,completed
De zanger boven de tafel vermijdt,De zanger boven de tafel vermijden,singular,1,5,De zanger boven de tafel vermijdt de persoon.
De zanger boven de tafel ontmoedigt,De zanger boven de tafel ontmoedigen,singular,1,5,De zanger boven de tafel ontmoedigt de persoon.
De zanger boven de tafel inspireert,De zanger boven de tafel inspireren,singular,1,5,De zanger boven de tafel inspireert de persoon.
De zanger boven de tafel observeert,De zanger boven de tafel observeren,singular,1,5,De zanger boven de tafel observeert de persoon.
De zanger boven de tafel begrijpt,De zanger boven de tafel begrijpen,singular,1,5,De zanger boven de tafel begrijpt de persoon.
De zanger boven de tafel onthoudt,De zanger boven de tafel onthouden,singular,1,5,De zanger boven de tafel onthoudt de persoon.
De zanger boven de tafel bekritiseert,De zanger boven de tafel bekritiseren,singular,1,5,De zanger boven de tafel bekritiseert de persoon.
De zanger boven de tafel groet,De zanger boven de tafel groeten,singular,1,5,De zanger boven de tafel groet de persoon.
De zanger boven de tafel bemoedigt,De zanger boven de tafel bemoedigen,singular,1,5,De zanger boven de tafel bemoedigt de persoon.
De zanger boven de tafel kent,De zanger boven de tafel kennen,singular,1,5,De zanger boven de tafel kent de persoon.
De zanger boven de tafel bewondert,De zanger boven de tafel bewonderen,singular,1,5,De zanger boven de tafel bewondert de persoon.
De zanger boven de tafel stimuleert,De zanger boven de tafel stimuleren,singular,1,5,De zanger boven de tafel stimuleert de persoon.
De zanger boven de vrachtwagen vermijdt,De zanger boven de vrachtwagen vermijden,singular,1,5,De zanger boven de vrachtwagen vermijdt de persoon.
De zanger boven de vrachtwagen ontmoedigt,De zanger boven de vrachtwagen ontmoedigen,singular,1,5,De zanger boven de vrachtwagen ontmoedigt de persoon.
De zanger boven de vrachtwagen inspireert,De zanger boven de vrachtwagen inspireren,singular,1,5,De zanger boven de vrachtwagen inspireert de persoon.
De zanger boven de vrachtwagen observeert,De zanger boven de vrachtwagen observeren,singular,1,5,De zanger boven de vrachtwagen observeert de persoon.
De zanger boven de vrachtwagen begrijpt,De zanger boven de vrachtwagen begrijpen,singular,1,5,De zanger boven de vrachtwagen begrijpt de persoon.
De zanger boven de vrachtwagen onthoudt,De zanger boven de vrachtwagen onthouden,singular,1,5,De zanger boven de vrachtwagen onthoudt de persoon.
De zanger boven de vrachtwagen bekritiseert,De zanger boven de vrachtwagen bekritiseren,singular,1,5,De zanger boven de vrachtwagen bekritiseert de persoon.
De zanger boven de vrachtwagen groet,De zanger boven de vrachtwagen groeten,singular,1,5,De zanger boven de vrachtwagen groet de persoon.
De zanger boven de vrachtwagen bemoedigt,De zanger boven de vrachtwagen bemoedigen,singular,1,5,De zanger boven de vrachtwagen bemoedigt de persoon.
De zanger boven de vrachtwagen kent,De zanger boven de vrachtwagen kennen,singular,1,5,De zanger boven de vrachtwagen kent de persoon.
De zanger boven de vrachtwagen bewondert,De zanger boven de vrachtwagen bewonderen,singular,1,5,De zanger boven de vrachtwagen bewondert de persoon.
De zanger boven de vrachtwagen stimuleert,De zanger boven de vrachtwagen stimuleren,singular,1,5,De zanger boven de vrachtwagen stimuleert de persoon.
De zanger boven de fiets vermijdt,De zanger boven de fiets vermijden,singular,1,5,De zanger boven de fiets vermijdt de persoon.
De zanger boven de fiets ontmoedigt,De zanger boven de fiets ontmoedigen,singular,1,5,De zanger boven de fiets ontmoedigt de persoon.
De zanger boven de fiets inspireert,De zanger boven de fiets inspireren,singular,1,5,De zanger boven de fiets inspireert de persoon.
De zanger boven de fiets observeert,De zanger boven de fiets observeren,singular,1,5,De zanger boven de fiets observeert de persoon.
De zanger boven de fiets begrijpt,De zanger boven de fiets begrijpen,singular,1,5,De zanger boven de fiets begrijpt de persoon.
De zanger boven de fiets onthoudt,De zanger boven de fiets onthouden,singular,1,5,De zanger boven de fiets onthoudt de persoon.
De zanger boven de fiets bekritiseert,De zanger boven de fiets bekritiseren,singular,1,5,De zanger boven de fiets bekritiseert de persoon.
De zanger boven de fiets groet,De zanger boven de fiets groeten,singular,1,5,De zanger boven de fiets groet de persoon.
De zanger boven de fiets bemoedigt,De zanger boven de fiets bemoedigen,singular,1,5,De zanger boven de fiets bemoedigt de persoon.
De zanger boven de fiets kent,De zanger boven de fiets kennen,singular,1,5,De zanger boven de fiets kent de persoon.
De zanger boven de fiets bewondert,De zanger boven de fiets bewonderen,singular,1,5,De zanger boven de fiets bewondert de persoon.
De zanger boven de fiets stimuleert,De zanger boven de fiets stimuleren,singular,1,5,De zanger boven de fiets stimuleert de persoon.
De zanger boven het bureau vermijdt,De zanger boven het bureau vermijden,singular,1,5,De zanger boven het bureau vermijdt de persoon.
De zanger boven het bureau ontmoedigt,De zanger boven het bureau ontmoedigen,singular,1,5,De zanger boven het bureau ontmoedigt de persoon.
De zanger boven het bureau inspireert,De zanger boven het bureau inspireren,singular,1,5,De zanger boven het bureau inspireert de persoon.
De zanger boven het bureau observeert,De zanger boven het bureau observeren,singular,1,5,De zanger boven het bureau observeert de persoon.
De zanger boven het bureau begrijpt,De zanger boven het bureau begrijpen,singular,1,5,De zanger boven het bureau begrijpt de persoon.
De zanger boven het bureau onthoudt,De zanger boven het bureau onthouden,singular,1,5,De zanger boven het bureau onthoudt de persoon.
De zanger boven het bureau bekritiseert,De zanger boven het bureau bekritiseren,singular,1,5,De zanger boven het bureau bekritiseert de persoon.
De zanger boven het bureau groet,De zanger boven het bureau groeten,singular,1,5,De zanger boven het bureau groet de persoon.
De zanger boven het bureau bemoedigt,De zanger boven het bureau bemoedigen,singular,1,5,De zanger boven het bureau bemoedigt de persoon.
De zanger boven het bureau kent,De zanger boven het bureau kennen,singular,1,5,De zanger boven het bureau kent de persoon.
De zanger boven het bureau bewondert,De zanger boven het bureau bewonderen,singular,1,5,De zanger boven het bureau bewondert de persoon.
De zanger boven het bureau stimuleert,De zanger boven het bureau stimuleren,singular,1,5,De zanger boven het bureau stimuleert de persoon.
De zanger boven het raam vermijdt,De zanger boven het raam vermijden,singular,1,5,De zanger boven het raam vermijdt de persoon.
De zanger boven het raam ontmoedigt,De zanger boven het raam ontmoedigen,singular,1,5,De zanger boven het raam ontmoedigt de persoon.
De zanger boven het raam inspireert,De zanger boven het raam inspireren,singular,1,5,De zanger boven het raam inspireert de persoon.
De zanger boven het raam observeert,De zanger boven het raam observeren,singular,1,5,De zanger boven het raam observeert de persoon.
De zanger boven het raam begrijpt,De zanger boven het raam begrijpen,singular,1,5,De zanger boven het raam begrijpt de persoon.
De zanger boven het raam onthoudt,De zanger boven het raam onthouden,singular,1,5,De zanger boven het raam onthoudt de persoon.
De zanger boven het raam bekritiseert,De zanger boven het raam bekritiseren,singular,1,5,De zanger boven het raam bekritiseert de persoon.
De zanger boven het raam groet,De zanger boven het raam groeten,singular,1,5,De zanger boven het raam groet de persoon.
De zanger boven het raam bemoedigt,De zanger boven het raam bemoedigen,singular,1,5,De zanger boven het raam bemoedigt de persoon.
De zanger boven het raam kent,De zanger boven het raam kennen,singular,1,5,De zanger boven het raam kent de persoon.
De zanger boven het raam bewondert,De zanger boven het raam bewonderen,singular,1,5,De zanger boven het raam bewondert de persoon.
