agreement,disagreement,number,subject_index,verb_index,completed
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon nu zeker.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon nu waarschijnlijk.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon nu publiekelijk.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon nu bewust.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon nu openlijk.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon nu voorzichtig.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon heel zeker.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon heel waarschijnlijk.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon heel publiekelijk.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon heel bewust.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon heel openlijk.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon heel voorzichtig.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon inderdaad zeker.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon inderdaad waarschijnlijk.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon inderdaad publiekelijk.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon inderdaad bewust.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon inderdaad openlijk.
De timmerman inspireert,De timmerman inspireren,singular,1,2,De timmerman inspireert de persoon inderdaad voorzichtig.
De timmerman bemoedigt,De timmerman bemoedigen,singular,1,2,De timmerman bemoedigt de persoon nu zeker.
