agreement,disagreement,number,subject_index,verb_index,completed
De vent naast de tafel bemoedigt,De vent naast de tafel bemoedigen,singular,1,5,De vent naast de tafel bemoedigt de persoon voorzichtig.
De vent naast de tafel bemoedigt,De vent naast de tafel bemoedigen,singular,1,5,De vent naast de tafel bemoedigt de persoon waarschijnlijk.
De vent naast de tafel bemoedigt,De vent naast de tafel bemoedigen,singular,1,5,De vent naast de tafel bemoedigt de persoon openlijk.
De vent naast de tafel bemoedigt,De vent naast de tafel bemoedigen,singular,1,5,De vent naast de tafel bemoedigt de persoon zeker.
De vent naast de tafel stimuleert,De vent naast de tafel stimuleren,singular,1,5,De vent naast de tafel stimuleert de persoon voorzichtig.
De vent naast de tafel stimuleert,De vent naast de tafel stimuleren,singular,1,5,De vent naast de tafel stimuleert de persoon waarschijnlijk.
De vent naast de tafel stimuleert,De vent naast de tafel stimuleren,singular,1,5,De vent naast de tafel stimuleert de persoon openlijk.
De vent naast de tafel stimuleert,De vent naast de tafel stimuleren,singular,1,5,De vent naast de tafel stimuleert de persoon zeker.
De vent naast de tafel ontmoedigt,De vent naast de tafel ontmoedigen,singular,1,5,De vent naast de tafel ontmoedigt de persoon voorzichtig.
De vent naast de tafel ontmoedigt,De vent naast de tafel ontmoedigen,singular,1,5,De vent naast de tafel ontmoedigt de persoon waarschijnlijk.
De vent naast de tafel ontmoedigt,De vent naast de tafel ontmoedigen,singular,1,5,De vent naast de tafel ontmoedigt de persoon openlijk.
De vent naast de tafel ontmoedigt,De vent naast de tafel ontmoedigen,singular,1,5,De vent naast de tafel ontmoedigt de persoon zeker.
De vent naast de tafel vermijdt,De vent naast de tafel vermijden,singular,1,5,De vent naast de tafel vermijdt de persoon voorzichtig.
De vent naast de tafel vermijdt,De vent naast de tafel vermijden,singular,1,5,De vent naast de tafel vermijdt de persoon waarschijnlijk.
De vent naast de tafel vermijdt,De vent naast de tafel vermijden,singular,1,5,De vent naast de tafel vermijdt de persoon openlijk.
De vent naast de tafel vermijdt,De vent naast de tafel vermijden,singular,1,5,De vent naast de tafel vermijdt de persoon zeker.
De vent naast de tafel groet,De vent naast de tafel groeten,singular,1,5,De vent naast de tafel groet de persoon voorzichtig.
De vent naast de tafel groet,De vent naast de tafel groeten,singular,1,5,De vent naast de tafel groet de persoon waarschijnlijk.
De vent naast de tafel groet,De vent naast de tafel groeten,singular,1,5,De vent naast de tafel groet de persoon openlijk.
De vent naast de tafel groet,De vent naast de tafel groeten,singular,1,5,De vent naast de tafel groet de persoon zeker.
De vent naast de tafel begrijpt,De vent naast de tafel begrijpen,singular,1,5,De vent naast de tafel begrijpt de persoon voorzichtig.
De vent naast de tafel begrijpt,De vent naast de tafel begrijpen,singular,1,5,De vent naast de tafel begrijpt de persoon waarschijnlijk.
De vent naast de tafel begrijpt,De vent naast de tafel begrijpen,singular,1,5,De vent naast de tafel begrijpt de persoon openlijk.
De vent naast de tafel begrijpt,De vent naast de tafel begrijpen,singular,1,5,De vent naast de tafel begrijpt de persoon zeker.
De vent naast de tafel kent,De vent naast de tafel kennen,singular,1,5,De vent naast de tafel kent de persoon voorzichtig.
De vent naast de tafel kent,De vent naast de tafel kennen,singular,1,5,De vent naast de tafel kent de persoon waarschijnlijk.
De vent naast de tafel kent,De vent naast de tafel kennen,singular,1,5,De vent naast de tafel kent de persoon openlijk.
De vent naast de tafel kent,De vent naast de tafel kennen,singular,1,5,De vent naast de tafel kent de persoon zeker.
De vent naast de tafel inspireert,De vent naast de tafel inspireren,singular,1,5,De vent naast de tafel inspireert de persoon voorzichtig.
De vent naast de tafel inspireert,De vent naast de tafel inspireren,singular,1,5,De vent naast de tafel inspireert de persoon waarschijnlijk.
