agreement,disagreement,number,subject_index,verb_index,completed
De persoon vermijdt,De persoon vermijden,singular,1,2,De persoon vermijdt de persoon publiekelijk.
De persoon vermijdt,De persoon vermijden,singular,1,2,De persoon vermijdt de persoon waarschijnlijk.
De persoon vermijdt,De persoon vermijden,singular,1,2,De persoon vermijdt de persoon voorzichtig.
De persoon vermijdt,De persoon vermijden,singular,1,2,De persoon vermijdt de persoon bewust.
De persoon vermijdt,De persoon vermijden,singular,1,2,De persoon vermijdt de persoon zeker.
De persoon vermijdt,De persoon vermijden,singular,1,2,De persoon vermijdt de persoon openlijk.
De persoon bemoedigt,De persoon bemoedigen,singular,1,2,De persoon bemoedigt de persoon publiekelijk.
De persoon bemoedigt,De persoon bemoedigen,singular,1,2,De persoon bemoedigt de persoon waarschijnlijk.
De persoon bemoedigt,De persoon bemoedigen,singular,1,2,De persoon bemoedigt de persoon voorzichtig.
De persoon bemoedigt,De persoon bemoedigen,singular,1,2,De persoon bemoedigt de persoon bewust.
De persoon bemoedigt,De persoon bemoedigen,singular,1,2,De persoon bemoedigt de persoon zeker.
De persoon bemoedigt,De persoon bemoedigen,singular,1,2,De persoon bemoedigt de persoon openlijk.
De persoon kent,De persoon kennen,singular,1,2,De persoon kent de persoon publiekelijk.
De persoon kent,De persoon kennen,singular,1,2,De persoon kent de persoon waarschijnlijk.
De persoon kent,De persoon kennen,singular,1,2,De persoon kent de persoon voorzichtig.
De persoon kent,De persoon kennen,singular,1,2,De persoon kent de persoon bewust.
De persoon kent,De persoon kennen,singular,1,2,De persoon kent de persoon zeker.
De persoon kent,De persoon kennen,singular,1,2,De persoon kent de persoon openlijk.
De persoon stimuleert,De persoon stimuleren,singular,1,2,De persoon stimuleert de persoon publiekelijk.
De persoon stimuleert,De persoon stimuleren,singular,1,2,De persoon stimuleert de persoon waarschijnlijk.
De persoon stimuleert,De persoon stimuleren,singular,1,2,De persoon stimuleert de persoon voorzichtig.
De persoon stimuleert,De persoon stimuleren,singular,1,2,De persoon stimuleert de persoon bewust.
De persoon stimuleert,De persoon stimuleren,singular,1,2,De persoon stimuleert de persoon zeker.
De persoon stimuleert,De persoon stimuleren,singular,1,2,De persoon stimuleert de persoon openlijk.
De persoon bewondert,De persoon bewonderen,singular,1,2,De persoon bewondert de persoon publiekelijk.
De persoon bewondert,De persoon bewonderen,singular,1,2,De persoon bewondert de persoon waarschijnlijk.
De persoon bewondert,De persoon bewonderen,singular,1,2,De persoon bewondert de persoon voorzichtig.
De persoon bewondert,De persoon bewonderen,singular,1,2,De persoon bewondert de persoon bewust.
De persoon bewondert,De persoon bewonderen,singular,1,2,De persoon bewondert de persoon zeker.
De persoon bewondert,De persoon bewonderen,singular,1,2,De persoon bewondert de persoon openlijk.
De persoon onthoudt,De persoon onthouden,singular,1,2,De persoon onthoudt de persoon publiekelijk.
De persoon onthoudt,De persoon onthouden,singular,1,2,De persoon onthoudt de persoon waarschijnlijk.
De persoon onthoudt,De persoon onthouden,singular,1,2,De persoon onthoudt de persoon voorzichtig.
De persoon onthoudt,De persoon onthouden,singular,1,2,De persoon onthoudt de persoon bewust.
De persoon onthoudt,De persoon onthouden,singular,1,2,De persoon onthoudt de persoon zeker.
