agreement,disagreement,number,subject_index,verb_index,completed
De meid inspireert of inspireert,De meid inspireren of inspireren,singular,1,4,De meid inspireert of inspireert de persoon.
De meid inspireert of begrijpt,De meid inspireren of begrijpen,singular,1,4,De meid inspireert of begrijpt de persoon.
De meid inspireert of stimuleert,De meid inspireren of stimuleren,singular,1,4,De meid inspireert of stimuleert de persoon.
De meid inspireert of onthoudt,De meid inspireren of onthouden,singular,1,4,De meid inspireert of onthoudt de persoon.
De meid inspireert of groet,De meid inspireren of groeten,singular,1,4,De meid inspireert of groet de persoon.
De meid inspireert of observeert,De meid inspireren of observeren,singular,1,4,De meid inspireert of observeert de persoon.
De meid inspireert of bemoedigt,De meid inspireren of bemoedigen,singular,1,4,De meid inspireert of bemoedigt de persoon.
De meid inspireert of vermijdt,De meid inspireren of vermijden,singular,1,4,De meid inspireert of vermijdt de persoon.
De meid inspireert of ontmoedigt,De meid inspireren of ontmoedigen,singular,1,4,De meid inspireert of ontmoedigt de persoon.
De meid inspireert of bekritiseert,De meid inspireren of bekritiseren,singular,1,4,De meid inspireert of bekritiseert de persoon.
De meid inspireert of kent,De meid inspireren of kennen,singular,1,4,De meid inspireert of kent de persoon.
De meid inspireert of bewondert,De meid inspireren of bewonderen,singular,1,4,De meid inspireert of bewondert de persoon.
De meid inspireert en inspireert,De meid inspireren en inspireren,singular,1,4,De meid inspireert en inspireert de persoon.
De meid inspireert en begrijpt,De meid inspireren en begrijpen,singular,1,4,De meid inspireert en begrijpt de persoon.
De meid inspireert en stimuleert,De meid inspireren en stimuleren,singular,1,4,De meid inspireert en stimuleert de persoon.
De meid inspireert en onthoudt,De meid inspireren en onthouden,singular,1,4,De meid inspireert en onthoudt de persoon.
De meid inspireert en groet,De meid inspireren en groeten,singular,1,4,De meid inspireert en groet de persoon.
De meid inspireert en observeert,De meid inspireren en observeren,singular,1,4,De meid inspireert en observeert de persoon.
De meid inspireert en bemoedigt,De meid inspireren en bemoedigen,singular,1,4,De meid inspireert en bemoedigt de persoon.
De meid inspireert en vermijdt,De meid inspireren en vermijden,singular,1,4,De meid inspireert en vermijdt de persoon.
De meid inspireert en ontmoedigt,De meid inspireren en ontmoedigen,singular,1,4,De meid inspireert en ontmoedigt de persoon.
De meid inspireert en bekritiseert,De meid inspireren en bekritiseren,singular,1,4,De meid inspireert en bekritiseert de persoon.
De meid inspireert en kent,De meid inspireren en kennen,singular,1,4,De meid inspireert en kent de persoon.
De meid inspireert en bewondert,De meid inspireren en bewonderen,singular,1,4,De meid inspireert en bewondert de persoon.
De meid begrijpt of inspireert,De meid begrijpen of inspireren,singular,1,4,De meid begrijpt of inspireert de persoon.
De meid begrijpt of begrijpt,De meid begrijpen of begrijpen,singular,1,4,De meid begrijpt of begrijpt de persoon.
De meid begrijpt of stimuleert,De meid begrijpen of stimuleren,singular,1,4,De meid begrijpt of stimuleert de persoon.
De meid begrijpt of onthoudt,De meid begrijpen of onthouden,singular,1,4,De meid begrijpt of onthoudt de persoon.
De meid begrijpt of groet,De meid begrijpen of groeten,singular,1,4,De meid begrijpt of groet de persoon.
De meid begrijpt of observeert,De meid begrijpen of observeren,singular,1,4,De meid begrijpt of observeert de persoon.
De meid begrijpt of bemoedigt,De meid begrijpen of bemoedigen,singular,1,4,De meid begrijpt of bemoedigt de persoon.
De meid begrijpt of vermijdt,De meid begrijpen of vermijden,singular,1,4,De meid begrijpt of vermijdt de persoon.
De meid begrijpt of ontmoedigt,De meid begrijpen of ontmoedigen,singular,1,4,De meid begrijpt of ontmoedigt de persoon.
De meid begrijpt of bekritiseert,De meid begrijpen of bekritiseren,singular,1,4,De meid begrijpt of bekritiseert de persoon.
De meid begrijpt of kent,De meid begrijpen of kennen,singular,1,4,De meid begrijpt of kent de persoon.
De meid begrijpt of bewondert,De meid begrijpen of bewonderen,singular,1,4,De meid begrijpt of bewondert de persoon.
De meid begrijpt en inspireert,De meid begrijpen en inspireren,singular,1,4,De meid begrijpt en inspireert de persoon.
De meid begrijpt en begrijpt,De meid begrijpen en begrijpen,singular,1,4,De meid begrijpt en begrijpt de persoon.
De meid begrijpt en stimuleert,De meid begrijpen en stimuleren,singular,1,4,De meid begrijpt en stimuleert de persoon.
De meid begrijpt en onthoudt,De meid begrijpen en onthouden,singular,1,4,De meid begrijpt en onthoudt de persoon.
De meid begrijpt en groet,De meid begrijpen en groeten,singular,1,4,De meid begrijpt en groet de persoon.
De meid begrijpt en observeert,De meid begrijpen en observeren,singular,1,4,De meid begrijpt en observeert de persoon.
De meid begrijpt en bemoedigt,De meid begrijpen en bemoedigen,singular,1,4,De meid begrijpt en bemoedigt de persoon.
De meid begrijpt en vermijdt,De meid begrijpen en vermijden,singular,1,4,De meid begrijpt en vermijdt de persoon.
De meid begrijpt en ontmoedigt,De meid begrijpen en ontmoedigen,singular,1,4,De meid begrijpt en ontmoedigt de persoon.
De meid begrijpt en bekritiseert,De meid begrijpen en bekritiseren,singular,1,4,De meid begrijpt en bekritiseert de persoon.
De meid begrijpt en kent,De meid begrijpen en kennen,singular,1,4,De meid begrijpt en kent de persoon.
De meid begrijpt en bewondert,De meid begrijpen en bewonderen,singular,1,4,De meid begrijpt en bewondert de persoon.
De meid stimuleert of inspireert,De meid stimuleren of inspireren,singular,1,4,De meid stimuleert of inspireert de persoon.
De meid stimuleert of begrijpt,De meid stimuleren of begrijpen,singular,1,4,De meid stimuleert of begrijpt de persoon.
De meid stimuleert of stimuleert,De meid stimuleren of stimuleren,singular,1,4,De meid stimuleert of stimuleert de persoon.
De meid stimuleert of onthoudt,De meid stimuleren of onthouden,singular,1,4,De meid stimuleert of onthoudt de persoon.
De meid stimuleert of groet,De meid stimuleren of groeten,singular,1,4,De meid stimuleert of groet de persoon.
De meid stimuleert of observeert,De meid stimuleren of observeren,singular,1,4,De meid stimuleert of observeert de persoon.
De meid stimuleert of bemoedigt,De meid stimuleren of bemoedigen,singular,1,4,De meid stimuleert of bemoedigt de persoon.
De meid stimuleert of vermijdt,De meid stimuleren of vermijden,singular,1,4,De meid stimuleert of vermijdt de persoon.
De meid stimuleert of ontmoedigt,De meid stimuleren of ontmoedigen,singular,1,4,De meid stimuleert of ontmoedigt de persoon.
De meid stimuleert of bekritiseert,De meid stimuleren of bekritiseren,singular,1,4,De meid stimuleert of bekritiseert de persoon.
De meid stimuleert of kent,De meid stimuleren of kennen,singular,1,4,De meid stimuleert of kent de persoon.
De meid stimuleert of bewondert,De meid stimuleren of bewonderen,singular,1,4,De meid stimuleert of bewondert de persoon.
De meid stimuleert en inspireert,De meid stimuleren en inspireren,singular,1,4,De meid stimuleert en inspireert de persoon.
De meid stimuleert en begrijpt,De meid stimuleren en begrijpen,singular,1,4,De meid stimuleert en begrijpt de persoon.
De meid stimuleert en stimuleert,De meid stimuleren en stimuleren,singular,1,4,De meid stimuleert en stimuleert de persoon.
De meid stimuleert en onthoudt,De meid stimuleren en onthouden,singular,1,4,De meid stimuleert en onthoudt de persoon.
De meid stimuleert en groet,De meid stimuleren en groeten,singular,1,4,De meid stimuleert en groet de persoon.
De meid stimuleert en observeert,De meid stimuleren en observeren,singular,1,4,De meid stimuleert en observeert de persoon.
De meid stimuleert en bemoedigt,De meid stimuleren en bemoedigen,singular,1,4,De meid stimuleert en bemoedigt de persoon.
De meid stimuleert en vermijdt,De meid stimuleren en vermijden,singular,1,4,De meid stimuleert en vermijdt de persoon.
De meid stimuleert en ontmoedigt,De meid stimuleren en ontmoedigen,singular,1,4,De meid stimuleert en ontmoedigt de persoon.
De meid stimuleert en bekritiseert,De meid stimuleren en bekritiseren,singular,1,4,De meid stimuleert en bekritiseert de persoon.
De meid stimuleert en kent,De meid stimuleren en kennen,singular,1,4,De meid stimuleert en kent de persoon.
De meid stimuleert en bewondert,De meid stimuleren en bewonderen,singular,1,4,De meid stimuleert en bewondert de persoon.
De meid onthoudt of inspireert,De meid onthouden of inspireren,singular,1,4,De meid onthoudt of inspireert de persoon.
De meid onthoudt of begrijpt,De meid onthouden of begrijpen,singular,1,4,De meid onthoudt of begrijpt de persoon.
De meid onthoudt of stimuleert,De meid onthouden of stimuleren,singular,1,4,De meid onthoudt of stimuleert de persoon.
