agreement,disagreement,number,subject_index,verb_index,completed
De groep vaders groet,De groep vaders groeten,singular,1,3,De groep vaders groet de persoon.
De groep vaders begrijpt,De groep vaders begrijpen,singular,1,3,De groep vaders begrijpt de persoon.
De groep vaders stimuleert,De groep vaders stimuleren,singular,1,3,De groep vaders stimuleert de persoon.
De groep vaders onthoudt,De groep vaders onthouden,singular,1,3,De groep vaders onthoudt de persoon.
De groep vaders bemoedigt,De groep vaders bemoedigen,singular,1,3,De groep vaders bemoedigt de persoon.
De groep vaders observeert,De groep vaders observeren,singular,1,3,De groep vaders observeert de persoon.
De groep vaders inspireert,De groep vaders inspireren,singular,1,3,De groep vaders inspireert de persoon.
De groep vaders kent,De groep vaders kennen,singular,1,3,De groep vaders kent de persoon.
De groep vaders vermijdt,De groep vaders vermijden,singular,1,3,De groep vaders vermijdt de persoon.
De groep vaders ontmoedigt,De groep vaders ontmoedigen,singular,1,3,De groep vaders ontmoedigt de persoon.
De groep vaders bekritiseert,De groep vaders bekritiseren,singular,1,3,De groep vaders bekritiseert de persoon.
De groep vaders bewondert,De groep vaders bewonderen,singular,1,3,De groep vaders bewondert de persoon.
De groep doktoren groet,De groep doktoren groeten,singular,1,3,De groep doktoren groet de persoon.
De groep doktoren begrijpt,De groep doktoren begrijpen,singular,1,3,De groep doktoren begrijpt de persoon.
De groep doktoren stimuleert,De groep doktoren stimuleren,singular,1,3,De groep doktoren stimuleert de persoon.
De groep doktoren onthoudt,De groep doktoren onthouden,singular,1,3,De groep doktoren onthoudt de persoon.
De groep doktoren bemoedigt,De groep doktoren bemoedigen,singular,1,3,De groep doktoren bemoedigt de persoon.
De groep doktoren observeert,De groep doktoren observeren,singular,1,3,De groep doktoren observeert de persoon.
De groep doktoren inspireert,De groep doktoren inspireren,singular,1,3,De groep doktoren inspireert de persoon.
De groep doktoren kent,De groep doktoren kennen,singular,1,3,De groep doktoren kent de persoon.
De groep doktoren vermijdt,De groep doktoren vermijden,singular,1,3,De groep doktoren vermijdt de persoon.
De groep doktoren ontmoedigt,De groep doktoren ontmoedigen,singular,1,3,De groep doktoren ontmoedigt de persoon.
De groep doktoren bekritiseert,De groep doktoren bekritiseren,singular,1,3,De groep doktoren bekritiseert de persoon.
De groep doktoren bewondert,De groep doktoren bewonderen,singular,1,3,De groep doktoren bewondert de persoon.
De groep mannen groet,De groep mannen groeten,singular,1,3,De groep mannen groet de persoon.
De groep mannen begrijpt,De groep mannen begrijpen,singular,1,3,De groep mannen begrijpt de persoon.
De groep mannen stimuleert,De groep mannen stimuleren,singular,1,3,De groep mannen stimuleert de persoon.
De groep mannen onthoudt,De groep mannen onthouden,singular,1,3,De groep mannen onthoudt de persoon.
De groep mannen bemoedigt,De groep mannen bemoedigen,singular,1,3,De groep mannen bemoedigt de persoon.
De groep mannen observeert,De groep mannen observeren,singular,1,3,De groep mannen observeert de persoon.
De groep mannen inspireert,De groep mannen inspireren,singular,1,3,De groep mannen inspireert de persoon.
De groep mannen kent,De groep mannen kennen,singular,1,3,De groep mannen kent de persoon.
De groep mannen vermijdt,De groep mannen vermijden,singular,1,3,De groep mannen vermijdt de persoon.
De groep mannen ontmoedigt,De groep mannen ontmoedigen,singular,1,3,De groep mannen ontmoedigt de persoon.
De groep mannen bekritiseert,De groep mannen bekritiseren,singular,1,3,De groep mannen bekritiseert de persoon.
De groep mannen bewondert,De groep mannen bewonderen,singular,1,3,De groep mannen bewondert de persoon.
De groep boeren groet,De groep boeren groeten,singular,1,3,De groep boeren groet de persoon.
De groep boeren begrijpt,De groep boeren begrijpen,singular,1,3,De groep boeren begrijpt de persoon.
De groep boeren stimuleert,De groep boeren stimuleren,singular,1,3,De groep boeren stimuleert de persoon.
De groep boeren onthoudt,De groep boeren onthouden,singular,1,3,De groep boeren onthoudt de persoon.
De groep boeren bemoedigt,De groep boeren bemoedigen,singular,1,3,De groep boeren bemoedigt de persoon.
De groep boeren observeert,De groep boeren observeren,singular,1,3,De groep boeren observeert de persoon.
De groep boeren inspireert,De groep boeren inspireren,singular,1,3,De groep boeren inspireert de persoon.
De groep boeren kent,De groep boeren kennen,singular,1,3,De groep boeren kent de persoon.
De groep boeren vermijdt,De groep boeren vermijden,singular,1,3,De groep boeren vermijdt de persoon.
De groep boeren ontmoedigt,De groep boeren ontmoedigen,singular,1,3,De groep boeren ontmoedigt de persoon.
De groep boeren bekritiseert,De groep boeren bekritiseren,singular,1,3,De groep boeren bekritiseert de persoon.
De groep boeren bewondert,De groep boeren bewonderen,singular,1,3,De groep boeren bewondert de persoon.
De groep advocaten groet,De groep advocaten groeten,singular,1,3,De groep advocaten groet de persoon.
De groep advocaten begrijpt,De groep advocaten begrijpen,singular,1,3,De groep advocaten begrijpt de persoon.
De groep advocaten stimuleert,De groep advocaten stimuleren,singular,1,3,De groep advocaten stimuleert de persoon.
De groep advocaten onthoudt,De groep advocaten onthouden,singular,1,3,De groep advocaten onthoudt de persoon.
De groep advocaten bemoedigt,De groep advocaten bemoedigen,singular,1,3,De groep advocaten bemoedigt de persoon.
De groep advocaten observeert,De groep advocaten observeren,singular,1,3,De groep advocaten observeert de persoon.
De groep advocaten inspireert,De groep advocaten inspireren,singular,1,3,De groep advocaten inspireert de persoon.
De groep advocaten kent,De groep advocaten kennen,singular,1,3,De groep advocaten kent de persoon.
De groep advocaten vermijdt,De groep advocaten vermijden,singular,1,3,De groep advocaten vermijdt de persoon.
De groep advocaten ontmoedigt,De groep advocaten ontmoedigen,singular,1,3,De groep advocaten ontmoedigt de persoon.
De groep advocaten bekritiseert,De groep advocaten bekritiseren,singular,1,3,De groep advocaten bekritiseert de persoon.
De groep advocaten bewondert,De groep advocaten bewonderen,singular,1,3,De groep advocaten bewondert de persoon.
De groep vrienden groet,De groep vrienden groeten,singular,1,3,De groep vrienden groet de persoon.
De groep vrienden begrijpt,De groep vrienden begrijpen,singular,1,3,De groep vrienden begrijpt de persoon.
De groep vrienden stimuleert,De groep vrienden stimuleren,singular,1,3,De groep vrienden stimuleert de persoon.
