agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	completed
De boer naast John kent	De boer naast John kennen	kent	kennen	1	4	singular	De boer naast John kent de persoon.
De boer naast John ziet	De boer naast John zien	ziet	zien	1	4	singular	De boer naast John ziet de persoon.
De boer naast John vertrouwt	De boer naast John vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast John vertrouwt de persoon.
De boer naast John begrijpt	De boer naast John begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast John begrijpt de persoon.
De boer naast John verleidt	De boer naast John verleiden	verleidt	verleiden	1	4	singular	De boer naast John verleidt de persoon.
De boer naast John mist	De boer naast John missen	mist	missen	1	4	singular	De boer naast John mist de persoon.
De boer naast John hoort	De boer naast John horen	hoort	horen	1	4	singular	De boer naast John hoort de persoon.
De boer naast John onderzoekt	De boer naast John onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast John onderzoekt de persoon.
De boer naast John bekritiseert	De boer naast John bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast John bekritiseert de persoon.
De boer naast John stimuleert	De boer naast John stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast John stimuleert de persoon.
De boer naast John vermijdt	De boer naast John vermijden	vermijdt	vermijden	1	4	singular	De boer naast John vermijdt de persoon.
De boer naast John groet	De boer naast John groeten	groet	groeten	1	4	singular	De boer naast John groet de persoon.
De boer naast John herkent	De boer naast John herkennen	herkent	herkennen	1	4	singular	De boer naast John herkent de persoon.
De boer naast John roept	De boer naast John roepen	roept	roepen	1	4	singular	De boer naast John roept de persoon.
De boer naast Mike kent	De boer naast Mike kennen	kent	kennen	1	4	singular	De boer naast Mike kent de persoon.
De boer naast Mike ziet	De boer naast Mike zien	ziet	zien	1	4	singular	De boer naast Mike ziet de persoon.
De boer naast Mike vertrouwt	De boer naast Mike vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast Mike vertrouwt de persoon.
De boer naast Mike begrijpt	De boer naast Mike begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast Mike begrijpt de persoon.
De boer naast Mike verleidt	De boer naast Mike verleiden	verleidt	verleiden	1	4	singular	De boer naast Mike verleidt de persoon.
De boer naast Mike mist	De boer naast Mike missen	mist	missen	1	4	singular	De boer naast Mike mist de persoon.
De boer naast Mike hoort	De boer naast Mike horen	hoort	horen	1	4	singular	De boer naast Mike hoort de persoon.
De boer naast Mike onderzoekt	De boer naast Mike onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast Mike onderzoekt de persoon.
De boer naast Mike bekritiseert	De boer naast Mike bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast Mike bekritiseert de persoon.
De boer naast Mike stimuleert	De boer naast Mike stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast Mike stimuleert de persoon.
De boer naast Mike vermijdt	De boer naast Mike vermijden	vermijdt	vermijden	1	4	singular	De boer naast Mike vermijdt de persoon.
De boer naast Mike groet	De boer naast Mike groeten	groet	groeten	1	4	singular	De boer naast Mike groet de persoon.
De boer naast Mike herkent	De boer naast Mike herkennen	herkent	herkennen	1	4	singular	De boer naast Mike herkent de persoon.
De boer naast Mike roept	De boer naast Mike roepen	roept	roepen	1	4	singular	De boer naast Mike roept de persoon.
De boer naast Bob kent	De boer naast Bob kennen	kent	kennen	1	4	singular	De boer naast Bob kent de persoon.
De boer naast Bob ziet	De boer naast Bob zien	ziet	zien	1	4	singular	De boer naast Bob ziet de persoon.
De boer naast Bob vertrouwt	De boer naast Bob vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast Bob vertrouwt de persoon.
De boer naast Bob begrijpt	De boer naast Bob begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast Bob begrijpt de persoon.
De boer naast Bob verleidt	De boer naast Bob verleiden	verleidt	verleiden	1	4	singular	De boer naast Bob verleidt de persoon.
De boer naast Bob mist	De boer naast Bob missen	mist	missen	1	4	singular	De boer naast Bob mist de persoon.
De boer naast Bob hoort	De boer naast Bob horen	hoort	horen	1	4	singular	De boer naast Bob hoort de persoon.
De boer naast Bob onderzoekt	De boer naast Bob onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast Bob onderzoekt de persoon.
De boer naast Bob bekritiseert	De boer naast Bob bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast Bob bekritiseert de persoon.
De boer naast Bob stimuleert	De boer naast Bob stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast Bob stimuleert de persoon.
De boer naast Bob vermijdt	De boer naast Bob vermijden	vermijdt	vermijden	1	4	singular	De boer naast Bob vermijdt de persoon.
De boer naast Bob groet	De boer naast Bob groeten	groet	groeten	1	4	singular	De boer naast Bob groet de persoon.
De boer naast Bob herkent	De boer naast Bob herkennen	herkent	herkennen	1	4	singular	De boer naast Bob herkent de persoon.
De boer naast Bob roept	De boer naast Bob roepen	roept	roepen	1	4	singular	De boer naast Bob roept de persoon.
De boer naast Pat kent	De boer naast Pat kennen	kent	kennen	1	4	singular	De boer naast Pat kent de persoon.
De boer naast Pat ziet	De boer naast Pat zien	ziet	zien	1	4	singular	De boer naast Pat ziet de persoon.
De boer naast Pat vertrouwt	De boer naast Pat vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast Pat vertrouwt de persoon.
De boer naast Pat begrijpt	De boer naast Pat begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast Pat begrijpt de persoon.
De boer naast Pat verleidt	De boer naast Pat verleiden	verleidt	verleiden	1	4	singular	De boer naast Pat verleidt de persoon.
De boer naast Pat mist	De boer naast Pat missen	mist	missen	1	4	singular	De boer naast Pat mist de persoon.
De boer naast Pat hoort	De boer naast Pat horen	hoort	horen	1	4	singular	De boer naast Pat hoort de persoon.
De boer naast Pat onderzoekt	De boer naast Pat onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast Pat onderzoekt de persoon.
De boer naast Pat bekritiseert	De boer naast Pat bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast Pat bekritiseert de persoon.
De boer naast Pat stimuleert	De boer naast Pat stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast Pat stimuleert de persoon.
De boer naast Pat vermijdt	De boer naast Pat vermijden	vermijdt	vermijden	1	4	singular	De boer naast Pat vermijdt de persoon.
De boer naast Pat groet	De boer naast Pat groeten	groet	groeten	1	4	singular	De boer naast Pat groet de persoon.
De boer naast Pat herkent	De boer naast Pat herkennen	herkent	herkennen	1	4	singular	De boer naast Pat herkent de persoon.
De boer naast Pat roept	De boer naast Pat roepen	roept	roepen	1	4	singular	De boer naast Pat roept de persoon.
De boer naast Bill kent	De boer naast Bill kennen	kent	kennen	1	4	singular	De boer naast Bill kent de persoon.
De boer naast Bill ziet	De boer naast Bill zien	ziet	zien	1	4	singular	De boer naast Bill ziet de persoon.
De boer naast Bill vertrouwt	De boer naast Bill vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast Bill vertrouwt de persoon.
De boer naast Bill begrijpt	De boer naast Bill begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast Bill begrijpt de persoon.
De boer naast Bill verleidt	De boer naast Bill verleiden	verleidt	verleiden	1	4	singular	De boer naast Bill verleidt de persoon.
De boer naast Bill mist	De boer naast Bill missen	mist	missen	1	4	singular	De boer naast Bill mist de persoon.
De boer naast Bill hoort	De boer naast Bill horen	hoort	horen	1	4	singular	De boer naast Bill hoort de persoon.
De boer naast Bill onderzoekt	De boer naast Bill onderzoeken	onderzoekt	onderzoeken	1	4	singular	De boer naast Bill onderzoekt de persoon.
De boer naast Bill bekritiseert	De boer naast Bill bekritiseren	bekritiseert	bekritiseren	1	4	singular	De boer naast Bill bekritiseert de persoon.
De boer naast Bill stimuleert	De boer naast Bill stimuleren	stimuleert	stimuleren	1	4	singular	De boer naast Bill stimuleert de persoon.
De boer naast Bill vermijdt	De boer naast Bill vermijden	vermijdt	vermijden	1	4	singular	De boer naast Bill vermijdt de persoon.
De boer naast Bill groet	De boer naast Bill groeten	groet	groeten	1	4	singular	De boer naast Bill groet de persoon.
De boer naast Bill herkent	De boer naast Bill herkennen	herkent	herkennen	1	4	singular	De boer naast Bill herkent de persoon.
De boer naast Bill roept	De boer naast Bill roepen	roept	roepen	1	4	singular	De boer naast Bill roept de persoon.
De boer naast Jim kent	De boer naast Jim kennen	kent	kennen	1	4	singular	De boer naast Jim kent de persoon.
De boer naast Jim ziet	De boer naast Jim zien	ziet	zien	1	4	singular	De boer naast Jim ziet de persoon.
De boer naast Jim vertrouwt	De boer naast Jim vertrouwen	vertrouwt	vertrouwen	1	4	singular	De boer naast Jim vertrouwt de persoon.
De boer naast Jim begrijpt	De boer naast Jim begrijpen	begrijpt	begrijpen	1	4	singular	De boer naast Jim begrijpt de persoon.
