agreement	disagreement	correct_verb	incorrect_verb	subject_index	verb_index	number1	number2	completed
De meid naast de fiets kent	De meid naast de fiets kennen	kent	kennen	1	5	singular	singular	De meid naast de fiets kent de persoon.
De atleet op het raam steunt	De atleet op het raam steunen	steunt	steunen	1	5	singular	singular	De atleet op het raam steunt de persoon.
De advocaat naast de stoel steunt	De advocaat naast de stoel steunen	steunt	steunen	1	5	singular	singular	De advocaat naast de stoel steunt de persoon.
De atleet op de stoel roept	De atleet op de stoel roepen	roept	roepen	1	5	singular	singular	De atleet op de stoel roept de persoon.
De vader bij de vrachtwagen steunt	De vader bij de vrachtwagen steunen	steunt	steunen	1	5	singular	singular	De vader bij de vrachtwagen steunt de persoon.
De tante bij de vrachtwagen groet	De tante bij de vrachtwagen groeten	groet	groeten	1	5	singular	singular	De tante bij de vrachtwagen groet de persoon.
De inwoner onder het raam bekritiseert	De inwoner onder het raam bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De inwoner onder het raam bekritiseert de persoon.
De oom achter de vrachtwagen vermijdt	De oom achter de vrachtwagen vermijden	vermijdt	vermijden	1	5	singular	singular	De oom achter de vrachtwagen vermijdt de persoon.
De tante bij de tafel mist	De tante bij de tafel missen	mist	missen	1	5	singular	singular	De tante bij de tafel mist de persoon.
De man op de tafel herkent	De man op de tafel herkennen	herkent	herkennen	1	5	singular	singular	De man op de tafel herkent de persoon.
De oom bij de boom vermijdt	De oom bij de boom vermijden	vermijdt	vermijden	1	5	singular	singular	De oom bij de boom vermijdt de persoon.
De winnaar naast de stoel bekritiseert	De winnaar naast de stoel bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De winnaar naast de stoel bekritiseert de persoon.
De tante achter het raam vermijdt	De tante achter het raam vermijden	vermijdt	vermijden	1	5	singular	singular	De tante achter het raam vermijdt de persoon.
De winnaar onder de tafel mist	De winnaar onder de tafel missen	mist	missen	1	5	singular	singular	De winnaar onder de tafel mist de persoon.
De man naast de boom bekritiseert	De man naast de boom bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De man naast de boom bekritiseert de persoon.
De boer onder het raam steunt	De boer onder het raam steunen	steunt	steunen	1	5	singular	singular	De boer onder het raam steunt de persoon.
De persoon op het raam bekritiseert	De persoon op het raam bekritiseren	bekritiseert	bekritiseren	1	5	singular	singular	De persoon op het raam bekritiseert de persoon.
De man bij de vrachtwagen herkent	De man bij de vrachtwagen herkennen	herkent	herkennen	1	5	singular	singular	De man bij de vrachtwagen herkent de persoon.
De man bij de tafel herkent	De man bij de tafel herkennen	herkent	herkennen	1	5	singular	singular	De man bij de tafel herkent de persoon.
De moeder op de boom hoort	De moeder op de boom horen	hoort	horen	1	5	singular	singular	De moeder op de boom hoort de persoon.
De inwoner naast het bureau herkent	De inwoner naast het bureau herkennen	herkent	herkennen	1	5	singular	singular	De inwoner naast het bureau herkent de persoon.
De man onder de boom herkent	De man onder de boom herkennen	herkent	herkennen	1	5	singular	singular	De man onder de boom herkent de persoon.
De man onder de fiets herkent	De man onder de fiets herkennen	herkent	herkennen	1	5	singular	singular	De man onder de fiets herkent de persoon.
De persoon naast het bureau herkent	De persoon naast het bureau herkennen	herkent	herkennen	1	5	singular	singular	De persoon naast het bureau herkent de persoon.
De meid op de vrachtwagen vertrouwt	De meid op de vrachtwagen vertrouwen	vertrouwt	vertrouwen	1	5	singular	singular	De meid op de vrachtwagen vertrouwt de persoon.
De oom op de fiets begrijpt	De oom op de fiets begrijpen	begrijpt	begrijpen	1	5	singular	singular	De oom op de fiets begrijpt de persoon.
De vader onder de stoel herkent	De vader onder de stoel herkennen	herkent	herkennen	1	5	singular	singular	De vader onder de stoel herkent de persoon.
De man naast de boom verleidt	De man naast de boom verleiden	verleidt	verleiden	1	5	singular	singular	De man naast de boom verleidt de persoon.
